DATE,DPCCRV1Q225SBEA,UNRATE,NROU,Proposed_Interest_Rate
1959-04-01,2.2,5.2,5.438085556030273,4.538085556030274
1959-07-01,2.7,5.1,5.443927,5.3939270000000015
1959-10-01,2.3,5.7,5.450064,4.200063999999999
1960-01-01,1.2,5.2,5.456452369689941,3.0564523696899415
1960-04-01,1.5,5.2,5.463051,3.513051
1960-07-01,1.6,5.5,5.469829559326172,3.3698295593261722
1960-10-01,1.3,6.1,5.47677,2.3267700000000002
1961-01-01,0.7,6.6,5.483875,0.9338750000000009
1961-04-01,1.3,7,5.4911650000000005,1.4411650000000003
1961-07-01,1.8,7,5.498675346374512,2.1986753463745115
1961-10-01,1,6.5,5.506455421447754,1.506455421447754
1962-01-01,1.5,5.8,5.514558999999999,2.9645589999999995
1962-04-01,1.5,5.6,5.523042,3.1730420000000006
1962-07-01,1.3,5.4,5.5319504737854,3.0819504737853998
1962-10-01,0.8,5.4,5.5413239999999995,2.341323999999999
1963-01-01,1.3,5.7,5.551188,2.8011879999999993
1963-04-01,1.5,5.7,5.561552,3.1115519999999997
1963-07-01,1.6,5.6,5.572411,3.3724110000000005
1963-10-01,1.9,5.5,5.583747386932373,3.9337473869323727
1964-01-01,1.7,5.6,5.595527648925781,3.545527648925782
1964-04-01,1.2,5.3,5.607705999999999,3.107706
1964-07-01,1.1,4.9,5.620222568511963,3.370222568511963
1964-10-01,1,5.1,5.633007,3.0330070000000005
1965-01-01,1.5,4.9,5.645976999999999,3.995976999999999
1965-04-01,1.2,4.8,5.659044000000001,3.659044000000001
1965-07-01,1.3,4.4,5.672116,4.222116
1965-10-01,1.3,4.2,5.685105,4.435105
1966-01-01,2,4,5.69793,5.69793
1966-04-01,3.3,3.8,5.710529,7.860529
1966-07-01,3.3,3.8,5.722861,7.8728609999999994
1966-10-01,3.5,3.7,5.734915,8.284915
1967-01-01,2.2,3.9,5.746704,6.1467040000000015
1967-04-01,2.7,3.8,5.7582700000000004,7.008270000000001
1967-07-01,3.7,3.8,5.769672,8.519672
1967-10-01,4.1,4,5.780983999999999,8.930983999999999
1968-01-01,4.6,3.7,5.792286,9.992286
1968-04-01,4.7,3.5,5.803658485412598,10.353658485412598
